subject_drug_drugbank_id,subject_drug_name,affected_drug_drugbank_id,affected_drug_name,summary,extended_description,severity,evidence_level,management
DB00780,Phenelzine,DB00612,Bisoprolol,Phenelzine may increase the hypotensive activities of Bisoprolol.,"Orthostatic hypotension is a common side effect of monoamine oxidase inhibitors (MAOI), especially irreversible MAOIs [L3181]. Such hypotensive effects generally occur 2-3 weeks after MAOI treatment [L3181]. Although the specific mechanism is unclear, some have proposed that the 2-3 week time period may result in a compensatory down-regulation of peripheral ganglionic effects in response to central sympathetic stimulation [L3181]. Moreover, others still have suggested that the inhibition of amine metabolism produces an artificial, supraphysiologic elevation of amines with few or no pressor effects and the subsequent replacement of amines with greater pressor effects from intracellular amine stores [L3181]. The gradual accumulation of MAOI in adrenergic neurons, for example, may cause MAO inhibition and subsequent alternate hydroxylation of tyramine to a MAOI [L3181]. It has been further speculated that such MAOI could replace norepinephrine from intra-axonal storage granules [L3181]. MAOI released upon sympathetic stimulation may act as a 'false neurotransmitter' demonstrating minimal activity at alpha or beta adrenergic receptors. Consequently, the result is a functional block of sympathetic neurotransmission, accompanied by the decreased ability to regulate blood pressure in response to postural changes [L3181]. The occurrence of hypotensive effects appears to occur more with irreversible MAOIs than other MAOI medications [L3181].",1,2,"Monoamine oxidase inhibitors (MAOIs) should be used with caution in combination with antihypertensive drugs, including thiazide diuretics and ß-blockers, since exaggerated hypotensive effects may result [F278]. The blood pressure of patients taking such a combination of medications should be monitored regularly to ensure that levels never become too low or perhaps to modify dosages of either the MAOIs or antihypertensives. Moreover, the occurrence of orthostatic hypotension correlates with peak plasma MAOI levels [L3181]. Indeed, minimizing peak levels by more frequent administration of smaller doses may be effective in attenuating the orthostatic response [L3181]. Hypotension related to the hydrazine MAOIs (e.g., phenelzine) is less amenable to changes in the dosing interval [L3181]. Interventions targeted at maintaining intravascular volume (e.g., encouraging fluid intake, increasing dietary salt, administration of salt-retaining corticosteroids such as florinef, or the use of support stockings) may be helpful. The occurrence of hypotension with the MAOIs that are not irreversible in their action is significantly less than with the irreversible MAOIs [L3181]."
DB00780,Phenelzine,DB00678,Losartan,Phenelzine may increase the hypotensive activities of Losartan.,"Orthostatic hypotension is a common side effect of monoamine oxidase inhibitors (MAOI), especially irreversible MAOIs [L3181]. Such hypotensive effects generally occur 2-3 weeks after MAOI treatment [L3181]. Although the specific mechanism is unclear, some have proposed that the 2-3 week time period may result in a compensatory down-regulation of peripheral ganglionic effects in response to central sympathetic stimulation [L3181]. Moreover, others still have suggested that the inhibition of amine metabolism produces an artificial, supraphysiologic elevation of amines with few or no pressor effects and the subsequent replacement of amines with greater pressor effects from intracellular amine stores [L3181]. The gradual accumulation of MAOI in adrenergic neurons, for example, may cause MAO inhibition and subsequent alternate hydroxylation of tyramine to a MAOI [L3181]. It has been further speculated that such MAOI could replace norepinephrine from intra-axonal storage granules [L3181]. MAOI released upon sympathetic stimulation may act as a 'false neurotransmitter' demonstrating minimal activity at alpha or beta adrenergic receptors. Consequently, the result is a functional block of sympathetic neurotransmission, accompanied by the decreased ability to regulate blood pressure in response to postural changes [L3181]. The occurrence of hypotensive effects appears to occur more with irreversible MAOIs than other MAOI medications [L3181].",1,2,"Monoamine oxidase inhibitors (MAOIs) should be used with caution in combination with antihypertensive drugs, including thiazide diuretics and ß-blockers, since exaggerated hypotensive effects may result [F278]. The blood pressure of patients taking such a combination of medications should be monitored regularly to ensure that levels never become too low or perhaps to modify dosages of either the MAOIs or antihypertensives. Moreover, the occurrence of orthostatic hypotension correlates with peak plasma MAOI levels [L3181]. Indeed, minimizing peak levels by more frequent administration of smaller doses may be effective in attenuating the orthostatic response [L3181]. Hypotension related to the hydrazine MAOIs (e.g., phenelzine) is less amenable to changes in the dosing interval [L3181]. Interventions targeted at maintaining intravascular volume (e.g., encouraging fluid intake, increasing dietary salt, administration of salt-retaining corticosteroids such as florinef, or the use of support stockings) may be helpful. The occurrence of hypotension with the MAOIs that are not irreversible in their action is significantly less than with the irreversible MAOIs [L3181]."
DB00780,Phenelzine,DB00722,Lisinopril,Phenelzine may increase the hypotensive activities of Lisinopril.,"Orthostatic hypotension is a common side effect of monoamine oxidase inhibitors (MAOI), especially irreversible MAOIs [L3181]. Such hypotensive effects generally occur 2-3 weeks after MAOI treatment [L3181]. Although the specific mechanism is unclear, some have proposed that the 2-3 week time period may result in a compensatory down-regulation of peripheral ganglionic effects in response to central sympathetic stimulation [L3181]. Moreover, others still have suggested that the inhibition of amine metabolism produces an artificial, supraphysiologic elevation of amines with few or no pressor effects and the subsequent replacement of amines with greater pressor effects from intracellular amine stores [L3181]. The gradual accumulation of MAOI in adrenergic neurons, for example, may cause MAO inhibition and subsequent alternate hydroxylation of tyramine to a MAOI [L3181]. It has been further speculated that such MAOI could replace norepinephrine from intra-axonal storage granules [L3181]. MAOI released upon sympathetic stimulation may act as a 'false neurotransmitter' demonstrating minimal activity at alpha or beta adrenergic receptors. Consequently, the result is a functional block of sympathetic neurotransmission, accompanied by the decreased ability to regulate blood pressure in response to postural changes [L3181]. The occurrence of hypotensive effects appears to occur more with irreversible MAOIs than other MAOI medications [L3181].",1,2,"Monoamine oxidase inhibitors (MAOIs) should be used with caution in combination with antihypertensive drugs, including thiazide diuretics and ß-blockers, since exaggerated hypotensive effects may result [F278]. The blood pressure of patients taking such a combination of medications should be monitored regularly to ensure that levels never become too low or perhaps to modify dosages of either the MAOIs or antihypertensives. Moreover, the occurrence of orthostatic hypotension correlates with peak plasma MAOI levels [L3181]. Indeed, minimizing peak levels by more frequent administration of smaller doses may be effective in attenuating the orthostatic response [L3181]. Hypotension related to the hydrazine MAOIs (e.g., phenelzine) is less amenable to changes in the dosing interval [L3181]. Interventions targeted at maintaining intravascular volume (e.g., encouraging fluid intake, increasing dietary salt, administration of salt-retaining corticosteroids such as florinef, or the use of support stockings) may be helpful. The occurrence of hypotension with the MAOIs that are not irreversible in their action is significantly less than with the irreversible MAOIs [L3181]."
DB00780,Phenelzine,DB00695,Furosemide,Phenelzine may increase the hypotensive activities of Furosemide.,"Orthostatic hypotension is a common side effect of monoamine oxidase inhibitors (MAOI), especially irreversible MAOIs [L3181]. Such hypotensive effects generally occur 2-3 weeks after MAOI treatment [L3181]. Although the specific mechanism is unclear, some have proposed that the 2-3 week time period may result in a compensatory down-regulation of peripheral ganglionic effects in response to central sympathetic stimulation [L3181]. Moreover, others still have suggested that the inhibition of amine metabolism produces an artificial, supraphysiologic elevation of amines with few or no pressor effects and the subsequent replacement of amines with greater pressor effects from intracellular amine stores [L3181]. The gradual accumulation of MAOI in adrenergic neurons, for example, may cause MAO inhibition and subsequent alternate hydroxylation of tyramine to a MAOI [L3181]. It has been further speculated that such MAOI could replace norepinephrine from intra-axonal storage granules [L3181]. MAOI released upon sympathetic stimulation may act as a 'false neurotransmitter' demonstrating minimal activity at alpha or beta adrenergic receptors. Consequently, the result is a functional block of sympathetic neurotransmission, accompanied by the decreased ability to regulate blood pressure in response to postural changes [L3181]. The occurrence of hypotensive effects appears to occur more with irreversible MAOIs than other MAOI medications [L3181].",1,2,"Monoamine oxidase inhibitors (MAOIs) should be used with caution in combination with antihypertensive drugs, including thiazide diuretics and ß-blockers, since exaggerated hypotensive effects may result [F278]. The blood pressure of patients taking such a combination of medications should be monitored regularly to ensure that levels never become too low or perhaps to modify dosages of either the MAOIs or antihypertensives. Moreover, the occurrence of orthostatic hypotension correlates with peak plasma MAOI levels [L3181]. Indeed, minimizing peak levels by more frequent administration of smaller doses may be effective in attenuating the orthostatic response [L3181]. Hypotension related to the hydrazine MAOIs (e.g., phenelzine) is less amenable to changes in the dosing interval [L3181]. Interventions targeted at maintaining intravascular volume (e.g., encouraging fluid intake, increasing dietary salt, administration of salt-retaining corticosteroids such as florinef, or the use of support stockings) may be helpful. The occurrence of hypotension with the MAOIs that are not irreversible in their action is significantly less than with the irreversible MAOIs [L3181]."
DB00780,Phenelzine,DB06292,Dapagliflozin,Phenelzine may increase the orthostatic hypotensive activities of Dapagliflozin.,Incidences of orthostatic hypotension have occurred with monoamine oxidase inhibitors (MAOIs) therapy [A36302]. Co-administration of hypotensive drugs in presence of a MAOI may result in increased risk for developing orthostatic hypotension due to an additive effect.,1,2,Caution is advised with the concomitant use of MAOIs with agents known to cause hypotension.
DB00780,Phenelzine,DB09038,Empagliflozin,Phenelzine may increase the orthostatic hypotensive activities of Empagliflozin.,Incidences of orthostatic hypotension have occurred with monoamine oxidase inhibitors (MAOIs) therapy [A36302]. Co-administration of hypotensive drugs in presence of a MAOI may result in increased risk for developing orthostatic hypotension due to an additive effect.,1,2,Caution is advised with the concomitant use of MAOIs with agents known to cause hypotension.
DB00780,Phenelzine,DB00334,Olanzapine,Phenelzine may increase the orthostatic hypotensive activities of Olanzapine.,Incidences of orthostatic hypotension have occurred with monoamine oxidase inhibitors (MAOIs) therapy [A36302]. Co-administration of hypotensive drugs in presence of a MAOI may result in increased risk for developing orthostatic hypotension due to an additive effect.,1,2,Caution is advised with the concomitant use of MAOIs with agents known to cause hypotension.
DB00780,Phenelzine,DB01224,Quetiapine,Phenelzine may increase the orthostatic hypotensive activities of Quetiapine.,Incidences of orthostatic hypotension have occurred with monoamine oxidase inhibitors (MAOIs) therapy [A36302]. Co-administration of hypotensive drugs in presence of a MAOI may result in increased risk for developing orthostatic hypotension due to an additive effect.,1,2,Caution is advised with the concomitant use of MAOIs with agents known to cause hypotension.
DB00295,Morphine,DB00758,Clopidogrel,The serum concentration of the active metabolites of Clopidogrel can be decreased when Clopidogrel is used in combination with Morphine.,"The co-administration of clopidogrel with morphine can delay clopidogrel absorption, decreasing plasma levels of the active metabolite of clopidogrel and subsequently reducing its antiplatelet activity.[L3910,A33802,A35253] This interaction may lead to antiplatelet treatment failure in susceptible individuals.[A33802] The suspected reason for this interaction is morphine's ability to slow gastric emptying - this reduces the absorption of the parent drug, and therefore decreases exposure to the active metabolite responsible for clopidogrel's antiplatelet activity.[A31704,A33805]",1,1,"Consider the use of parenteral antiplatelet agents in patients requiring therapy with morphine or other opioids. Conversely, consider the use of non-opioid analgesics in patients requiring therapy with clopidogrel."
DB06724,Calcium carbonate,DB00254,Doxycycline,Calcium carbonate can cause a decrease in the absorption of Doxycycline resulting in a reduced serum concentration and potentially a decrease in efficacy.,"The absorption of tetracyclines from the gastrointestinal tract is impaired by the concomitant administration of di- and tri-valent cations such as iron, calcium, aluminum, magnesium, bismuth and zinc salts.[L3716] The capacity for cation-containing antacids to substantially decrease the absorption of tetracyclines has been well studied.[A35672, A35265, A35266, A35609, A35610, A35611, A35612, A35673, A35674] One study demonstrated that the absorption of demeclocycline could be reduced by more than 50% when co-administered with aluminum, calcium, or magnesium antacids.[L33335] Another investigation recorded reductions of more than 80% in the oral bioavailability of tetracycline, doxycycline, and demeclocycline when magnesium-aluminum hydroxide antacids were coadministered in healthy volunteers.[A35609, A35610, A35611, A35612] Several explanations for this effect have been proposed - one such mechanism proposes that the interaction is associated with the formation of chelates between orally administered tetracyclines and aluminum, calcium, bismuth, and magnesium salts.[A35612] These chelates are significantly less soluble and, subsequently, less able to be absorbed from the gastrointestinal tract. Another potential explanation may be the decreased solubility of tetracyclines in the alkaline environments created by antacid administration, which may ultimately cause decreased tetracycline absorption.[A35674, A35675]",1,1,"The administration of cation-containing antacids and tetracycline antibiotics should be separated by at least two to three hours.[L3716] Consider the use of an alternative acid-reducing agent in place of the cation-containing antacid when possible.[L3716] If the concomitant use of these agents is unavoidable, monitor the patient for evidence of antibiotic failure.[L3716]"
DB06292,Dapagliflozin,DB06655,Liraglutide,Dapagliflozin may increase the hypoglycemic activities of Liraglutide.,"Hypoglycemia is an adverse effect that is known and formally associated with both sodium-glucose cotransporter 2 (SGLT-2) inhibitors and other agents that cause blood glucose lowering effect such as sulfonylureas or insulin [A38089, A38090]. Subsequently, if an SGLT-2 inhibitor is used concurrently with another agent that lowers blood glucose, an additive, combined actions of both kinds of medication can increase the risk, incidence, and/or severity of hypoglycemia for patients [A36921, A36924, F1078, F1079, F1080, L4219]. In particular, in a 24-week randomized, double-blind, parallel group, placebo-controlled trial with a 24-week double-blind extension period enrolled with adult patients whose type 2 diabetes was inadequately controlled on sulfonylurea monotherapy, hypoglycemic events were more frequent in the dapagliflozin and glimepiride combination arm compared to the placebo arm (9.7-11.4% versus 6.8%, respectively) [A36860]. Additionally, in a 24-week, randomized, double-blind, placebo-controlled, parallel-group, international, multicentre trial enrolled with patients with uncontrolled type 2 diabetes receiving sulfonylurea monotherapy, hypoglycemic events were again seen more frequently in the glimepiride and dapagliflozin combination arm compared to placebo (7.1-7.9% versus 4.8%, respectively). Moreover, most - if not all - professional prescribing information for SGLT-2 inhibitors warn of the possibility of hypoglycemia when used concomitantly with other agents that lower blood glucose levels [F1078, F1079, F1080].",1,2,"Consider using a different combination of therapies if possible. If concomitant use of an SGLT-2 inhibitor with another blood glucose-lowering agent is necessary, consider a decrease in the dose of that drug when initiating therapy with a sodium-glucose cotransporter 2 inhibitor and monitor patients closely for hypoglycemia [F1078, F1079, F1080]."
DB06292,Dapagliflozin,DB09038,Empagliflozin,Dapagliflozin may increase the hypoglycemic activities of Empagliflozin.,"Hypoglycemia is an adverse effect that is known and formally associated with both sodium-glucose cotransporter 2 (SGLT-2) inhibitors and other agents that cause blood glucose lowering effect such as sulfonylureas or insulin [A38089, A38090]. Subsequently, if an SGLT-2 inhibitor is used concurrently with another agent that lowers blood glucose, an additive, combined actions of both kinds of medication can increase the risk, incidence, and/or severity of hypoglycemia for patients [A36921, A36924, F1078, F1079, F1080, L4219]. In particular, in a 24-week randomized, double-blind, parallel group, placebo-controlled trial with a 24-week double-blind extension period enrolled with adult patients whose type 2 diabetes was inadequately controlled on sulfonylurea monotherapy, hypoglycemic events were more frequent in the dapagliflozin and glimepiride combination arm compared to the placebo arm (9.7-11.4% versus 6.8%, respectively) [A36860]. Additionally, in a 24-week, randomized, double-blind, placebo-controlled, parallel-group, international, multicentre trial enrolled with patients with uncontrolled type 2 diabetes receiving sulfonylurea monotherapy, hypoglycemic events were again seen more frequently in the glimepiride and dapagliflozin combination arm compared to placebo (7.1-7.9% versus 4.8%, respectively). Moreover, most - if not all - professional prescribing information for SGLT-2 inhibitors warn of the possibility of hypoglycemia when used concomitantly with other agents that lower blood glucose levels [F1078, F1079, F1080].",1,2,"Consider using a different combination of therapies if possible. If concomitant use of an SGLT-2 inhibitor with another blood glucose-lowering agent is necessary, consider a decrease in the dose of that drug when initiating therapy with a sodium-glucose cotransporter 2 inhibitor and monitor patients closely for hypoglycemia [F1078, F1079, F1080]."
DB06292,Dapagliflozin,DB13928,Semaglutide,Dapagliflozin may increase the hypoglycemic activities of Semaglutide.,"Hypoglycemia is an adverse effect that is known and formally associated with both sodium-glucose cotransporter 2 (SGLT-2) inhibitors and other agents that cause blood glucose lowering effect such as sulfonylureas or insulin [A38089, A38090]. Subsequently, if an SGLT-2 inhibitor is used concurrently with another agent that lowers blood glucose, an additive, combined actions of both kinds of medication can increase the risk, incidence, and/or severity of hypoglycemia for patients [A36921, A36924, F1078, F1079, F1080, L4219]. In particular, in a 24-week randomized, double-blind, parallel group, placebo-controlled trial with a 24-week double-blind extension period enrolled with adult patients whose type 2 diabetes was inadequately controlled on sulfonylurea monotherapy, hypoglycemic events were more frequent in the dapagliflozin and glimepiride combination arm compared to the placebo arm (9.7-11.4% versus 6.8%, respectively) [A36860]. Additionally, in a 24-week, randomized, double-blind, placebo-controlled, parallel-group, international, multicentre trial enrolled with patients with uncontrolled type 2 diabetes receiving sulfonylurea monotherapy, hypoglycemic events were again seen more frequently in the glimepiride and dapagliflozin combination arm compared to placebo (7.1-7.9% versus 4.8%, respectively). Moreover, most - if not all - professional prescribing information for SGLT-2 inhibitors warn of the possibility of hypoglycemia when used concomitantly with other agents that lower blood glucose levels [F1078, F1079, F1080].",1,2,"Consider using a different combination of therapies if possible. If concomitant use of an SGLT-2 inhibitor with another blood glucose-lowering agent is necessary, consider a decrease in the dose of that drug when initiating therapy with a sodium-glucose cotransporter 2 inhibitor and monitor patients closely for hypoglycemia [F1078, F1079, F1080]."
DB06292,Dapagliflozin,DB15171,Tirzepatide,Dapagliflozin may increase the hypoglycemic activities of Tirzepatide.,"Hypoglycemia is an adverse effect that is known and formally associated with both sodium-glucose cotransporter 2 (SGLT-2) inhibitors and other agents that cause blood glucose lowering effect such as sulfonylureas or insulin [A38089, A38090]. Subsequently, if an SGLT-2 inhibitor is used concurrently with another agent that lowers blood glucose, an additive, combined actions of both kinds of medication can increase the risk, incidence, and/or severity of hypoglycemia for patients [A36921, A36924, F1078, F1079, F1080, L4219]. In particular, in a 24-week randomized, double-blind, parallel group, placebo-controlled trial with a 24-week double-blind extension period enrolled with adult patients whose type 2 diabetes was inadequately controlled on sulfonylurea monotherapy, hypoglycemic events were more frequent in the dapagliflozin and glimepiride combination arm compared to the placebo arm (9.7-11.4% versus 6.8%, respectively) [A36860]. Additionally, in a 24-week, randomized, double-blind, placebo-controlled, parallel-group, international, multicentre trial enrolled with patients with uncontrolled type 2 diabetes receiving sulfonylurea monotherapy, hypoglycemic events were again seen more frequently in the glimepiride and dapagliflozin combination arm compared to placebo (7.1-7.9% versus 4.8%, respectively). Moreover, most - if not all - professional prescribing information for SGLT-2 inhibitors warn of the possibility of hypoglycemia when used concomitantly with other agents that lower blood glucose levels [F1078, F1079, F1080].",1,2,"Consider using a different combination of therapies if possible. If concomitant use of an SGLT-2 inhibitor with another blood glucose-lowering agent is necessary, consider a decrease in the dose of that drug when initiating therapy with a sodium-glucose cotransporter 2 inhibitor and monitor patients closely for hypoglycemia [F1078, F1079, F1080]."
DB09038,Empagliflozin,DB01261,Sitagliptin,Empagliflozin may increase the hypoglycemic activities of Sitagliptin.,"Hypoglycemia is an adverse effect that is known and formally associated with both sodium-glucose cotransporter 2 (SGLT-2) inhibitors and other agents that cause blood glucose lowering effect such as sulfonylureas or insulin [A38089, A38090]. Subsequently, if an SGLT-2 inhibitor is used concurrently with another agent that lowers blood glucose, an additive, combined actions of both kinds of medication can increase the risk, incidence, and/or severity of hypoglycemia for patients [A36921, A36924, F1078, F1079, F1080, L4219]. In particular, in a 24-week randomized, double-blind, parallel group, placebo-controlled trial with a 24-week double-blind extension period enrolled with adult patients whose type 2 diabetes was inadequately controlled on sulfonylurea monotherapy, hypoglycemic events were more frequent in the dapagliflozin and glimepiride combination arm compared to the placebo arm (9.7-11.4% versus 6.8%, respectively) [A36860]. Additionally, in a 24-week, randomized, double-blind, placebo-controlled, parallel-group, international, multicentre trial enrolled with patients with uncontrolled type 2 diabetes receiving sulfonylurea monotherapy, hypoglycemic events were again seen more frequently in the glimepiride and dapagliflozin combination arm compared to placebo (7.1-7.9% versus 4.8%, respectively). Moreover, most - if not all - professional prescribing information for SGLT-2 inhibitors warn of the possibility of hypoglycemia when used concomitantly with other agents that lower blood glucose levels [F1078, F1079, F1080].",1,2,"Consider using a different combination of therapies if possible. If concomitant use of an SGLT-2 inhibitor with another blood glucose-lowering agent is necessary, consider a decrease in the dose of that drug when initiating therapy with a sodium-glucose cotransporter 2 inhibitor and monitor patients closely for hypoglycemia [F1078, F1079, F1080]."
DB09038,Empagliflozin,DB06655,Liraglutide,Empagliflozin may increase the hypoglycemic activities of Liraglutide.,"Hypoglycemia is an adverse effect that is known and formally associated with both sodium-glucose cotransporter 2 (SGLT-2) inhibitors and other agents that cause blood glucose lowering effect such as sulfonylureas or insulin [A38089, A38090]. Subsequently, if an SGLT-2 inhibitor is used concurrently with another agent that lowers blood glucose, an additive, combined actions of both kinds of medication can increase the risk, incidence, and/or severity of hypoglycemia for patients [A36921, A36924, F1078, F1079, F1080, L4219]. In particular, in a 24-week randomized, double-blind, parallel group, placebo-controlled trial with a 24-week double-blind extension period enrolled with adult patients whose type 2 diabetes was inadequately controlled on sulfonylurea monotherapy, hypoglycemic events were more frequent in the dapagliflozin and glimepiride combination arm compared to the placebo arm (9.7-11.4% versus 6.8%, respectively) [A36860]. Additionally, in a 24-week, randomized, double-blind, placebo-controlled, parallel-group, international, multicentre trial enrolled with patients with uncontrolled type 2 diabetes receiving sulfonylurea monotherapy, hypoglycemic events were again seen more frequently in the glimepiride and dapagliflozin combination arm compared to placebo (7.1-7.9% versus 4.8%, respectively). Moreover, most - if not all - professional prescribing information for SGLT-2 inhibitors warn of the possibility of hypoglycemia when used concomitantly with other agents that lower blood glucose levels [F1078, F1079, F1080].",1,2,"Consider using a different combination of therapies if possible. If concomitant use of an SGLT-2 inhibitor with another blood glucose-lowering agent is necessary, consider a decrease in the dose of that drug when initiating therapy with a sodium-glucose cotransporter 2 inhibitor and monitor patients closely for hypoglycemia [F1078, F1079, F1080]."
DB09038,Empagliflozin,DB13928,Semaglutide,Empagliflozin may increase the hypoglycemic activities of Semaglutide.,"Hypoglycemia is an adverse effect that is known and formally associated with both sodium-glucose cotransporter 2 (SGLT-2) inhibitors and other agents that cause blood glucose lowering effect such as sulfonylureas or insulin [A38089, A38090]. Subsequently, if an SGLT-2 inhibitor is used concurrently with another agent that lowers blood glucose, an additive, combined actions of both kinds of medication can increase the risk, incidence, and/or severity of hypoglycemia for patients [A36921, A36924, F1078, F1079, F1080, L4219]. In particular, in a 24-week randomized, double-blind, parallel group, placebo-controlled trial with a 24-week double-blind extension period enrolled with adult patients whose type 2 diabetes was inadequately controlled on sulfonylurea monotherapy, hypoglycemic events were more frequent in the dapagliflozin and glimepiride combination arm compared to the placebo arm (9.7-11.4% versus 6.8%, respectively) [A36860]. Additionally, in a 24-week, randomized, double-blind, placebo-controlled, parallel-group, international, multicentre trial enrolled with patients with uncontrolled type 2 diabetes receiving sulfonylurea monotherapy, hypoglycemic events were again seen more frequently in the glimepiride and dapagliflozin combination arm compared to placebo (7.1-7.9% versus 4.8%, respectively). Moreover, most - if not all - professional prescribing information for SGLT-2 inhibitors warn of the possibility of hypoglycemia when used concomitantly with other agents that lower blood glucose levels [F1078, F1079, F1080].",1,2,"Consider using a different combination of therapies if possible. If concomitant use of an SGLT-2 inhibitor with another blood glucose-lowering agent is necessary, consider a decrease in the dose of that drug when initiating therapy with a sodium-glucose cotransporter 2 inhibitor and monitor patients closely for hypoglycemia [F1078, F1079, F1080]."
DB09038,Empagliflozin,DB15171,Tirzepatide,Empagliflozin may increase the hypoglycemic activities of Tirzepatide.,"Hypoglycemia is an adverse effect that is known and formally associated with both sodium-glucose cotransporter 2 (SGLT-2) inhibitors and other agents that cause blood glucose lowering effect such as sulfonylureas or insulin [A38089, A38090]. Subsequently, if an SGLT-2 inhibitor is used concurrently with another agent that lowers blood glucose, an additive, combined actions of both kinds of medication can increase the risk, incidence, and/or severity of hypoglycemia for patients [A36921, A36924, F1078, F1079, F1080, L4219]. In particular, in a 24-week randomized, double-blind, parallel group, placebo-controlled trial with a 24-week double-blind extension period enrolled with adult patients whose type 2 diabetes was inadequately controlled on sulfonylurea monotherapy, hypoglycemic events were more frequent in the dapagliflozin and glimepiride combination arm compared to the placebo arm (9.7-11.4% versus 6.8%, respectively) [A36860]. Additionally, in a 24-week, randomized, double-blind, placebo-controlled, parallel-group, international, multicentre trial enrolled with patients with uncontrolled type 2 diabetes receiving sulfonylurea monotherapy, hypoglycemic events were again seen more frequently in the glimepiride and dapagliflozin combination arm compared to placebo (7.1-7.9% versus 4.8%, respectively). Moreover, most - if not all - professional prescribing information for SGLT-2 inhibitors warn of the possibility of hypoglycemia when used concomitantly with other agents that lower blood glucose levels [F1078, F1079, F1080].",1,2,"Consider using a different combination of therapies if possible. If concomitant use of an SGLT-2 inhibitor with another blood glucose-lowering agent is necessary, consider a decrease in the dose of that drug when initiating therapy with a sodium-glucose cotransporter 2 inhibitor and monitor patients closely for hypoglycemia [F1078, F1079, F1080]."
DB00254,Doxycycline,DB11171,Ferric sulfate,Doxycycline can cause a decrease in the absorption of Ferric sulfate resulting in a reduced serum concentration and potentially a decrease in efficacy.,"A number of studies have demonstrated that the absorption of tetracycline could be decreased by 40 to 70% with the concurrent use of ferrous sulfate 100 to 300 mg [A35571, A35572, A35573, A35574]. The mechanism behind this kind of interaction is most likely linked to the formation of tetracycline-iron chelates in the gastrointestinal tract. These chelates are in turn, poorly absorbed, which results in impaired absorption and decreased concentrations of both the tetracycline and iron agents. Conversely, investigations with doxycycline have shown that oral iron agents may only decrease doxycycline concentrations by about 17 to 45%, regardless if the iron is administered a number of hours after doxycycline, and the half-life of intravenously administered doxycycline was decreased by an average of 34% when given concurrently with oral iron [A35578, A35580]. The fact that this occurs even after a temporal separation of the administration of oral iron and/or the use of intravenous doxycycline is that the administered doxycycline could undergo intestinal secretion and reabsorption, both of which are activities that can be modified by chelation of the doxycycline with iron agents in the gastrointestinal tract. Otherwise, no significant interaction occurs when iron is given at least 3 hours prior to or 2 hours after tetracycline administration [A35577]. Finally, other studies still note that the combined administration of tetracyclines and iron agents could reduce iron absorption by an average of 49 to 78% in humans [A35574, A35585].",1,1,No significant interaction occurs when iron is given at least 3 hours prior to or 2 hours after tetracycline administration [A35577].
DB00254,Doxycycline,DB13257,Ferrous sulfate anhydrous,Doxycycline can cause a decrease in the absorption of Ferrous sulfate anhydrous resulting in a reduced serum concentration and potentially a decrease in efficacy.,"A number of studies have demonstrated that the absorption of tetracycline could be decreased by 40 to 70% with the concurrent use of ferrous sulfate 100 to 300 mg [A35571, A35572, A35573, A35574]. The mechanism behind this kind of interaction is most likely linked to the formation of tetracycline-iron chelates in the gastrointestinal tract. These chelates are in turn, poorly absorbed, which results in impaired absorption and decreased concentrations of both the tetracycline and iron agents. Conversely, investigations with doxycycline have shown that oral iron agents may only decrease doxycycline concentrations by about 17 to 45%, regardless if the iron is administered a number of hours after doxycycline, and the half-life of intravenously administered doxycycline was decreased by an average of 34% when given concurrently with oral iron [A35578, A35580]. The fact that this occurs even after a temporal separation of the administration of oral iron and/or the use of intravenous doxycycline is that the administered doxycycline could undergo intestinal secretion and reabsorption, both of which are activities that can be modified by chelation of the doxycycline with iron agents in the gastrointestinal tract. Otherwise, no significant interaction occurs when iron is given at least 3 hours prior to or 2 hours after tetracycline administration [A35577]. Finally, other studies still note that the combined administration of tetracyclines and iron agents could reduce iron absorption by an average of 49 to 78% in humans [A35574, A35585].",1,1,No significant interaction occurs when iron is given at least 3 hours prior to or 2 hours after tetracycline administration [A35577].
DB00254,Doxycycline,DB14491,Ferrous fumarate,Doxycycline can cause a decrease in the absorption of Ferrous fumarate resulting in a reduced serum concentration and potentially a decrease in efficacy.,"A number of studies have demonstrated that the absorption of tetracycline could be decreased by 40 to 70% with the concurrent use of ferrous sulfate 100 to 300 mg [A35571, A35572, A35573, A35574]. The mechanism behind this kind of interaction is most likely linked to the formation of tetracycline-iron chelates in the gastrointestinal tract. These chelates are in turn, poorly absorbed, which results in impaired absorption and decreased concentrations of both the tetracycline and iron agents. Conversely, investigations with doxycycline have shown that oral iron agents may only decrease doxycycline concentrations by about 17 to 45%, regardless if the iron is administered a number of hours after doxycycline, and the half-life of intravenously administered doxycycline was decreased by an average of 34% when given concurrently with oral iron [A35578, A35580]. The fact that this occurs even after a temporal separation of the administration of oral iron and/or the use of intravenous doxycycline is that the administered doxycycline could undergo intestinal secretion and reabsorption, both of which are activities that can be modified by chelation of the doxycycline with iron agents in the gastrointestinal tract. Otherwise, no significant interaction occurs when iron is given at least 3 hours prior to or 2 hours after tetracycline administration [A35577]. Finally, other studies still note that the combined administration of tetracyclines and iron agents could reduce iron absorption by an average of 49 to 78% in humans [A35574, A35585].",1,1,No significant interaction occurs when iron is given at least 3 hours prior to or 2 hours after tetracycline administration [A35577].
